date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2024-10-01,127.32,74.52,52.8,0.3829
2024-10-02,110.97,77.35,33.62,0.5244
2024-10-03,88.31,53.93,34.38,0.4503
2024-10-04,118.95,72.92,46.03,0.8037
2024-10-05,87.84,47.22,40.62,0.7366
2024-10-06,125.22,71.93,53.29,0.5283
2024-10-07,105.77,75.56,30.21,0.7873
2024-10-08,111.86,56.53,55.33,0.5492
2024-10-09,119.98,65.37,54.61,0.5103
2024-10-10,84.0,53.27,30.73,0.6811
2024-10-11,130.0,84.09,45.91,0.7473
2024-10-12,112.55,66.83,45.72,0.5271
2024-10-13,98.36,67.92,30.44,0.4017
2024-10-14,117.86,74.65,43.21,0.8546
2024-10-15,121.88,73.28,48.6,0.5199
2024-10-16,118.67,60.21,58.46,0.6601
2024-10-17,122.66,63.01,59.65,0.5347
2024-10-18,133.06,67.08,65.98,0.7105
2024-10-19,140.45,90.33,50.12,0.8346
2024-10-20,118.1,76.72,41.38,0.6977
2024-10-21,117.5,78.62,38.88,0.95
2024-10-22,136.59,96.36,40.23,0.5972
2024-10-23,100.94,56.15,44.79,0.6194
2024-10-24,130.24,81.79,48.45,0.7616
2024-10-25,83.45,58.22,25.23,0.6404
2024-10-26,97.58,54.11,43.47,0.8293
2024-10-27,124.02,81.62,42.4,0.5959
2024-10-28,115.03,57.75,57.28,0.6746
2024-10-29,91.63,63.91,27.72,0.6525
2024-10-30,113.61,62.37,51.24,0.6305
2024-10-31,122.27,81.9,40.37,0.6976
2024-11-01,90.32,54.66,35.66,0.6677
2024-11-02,116.44,71.53,44.91,0.5881
2024-11-03,116.93,66.99,49.94,0.7677
2024-11-04,106.04,67.77,38.27,0.617
2024-11-05,94.27,61.77,32.5,0.7443
2024-11-06,87.6,45.42,42.18,0.5378
2024-11-07,116.26,74.7,41.56,0.6579
2024-11-08,106.11,67.58,38.53,0.8095
2024-11-09,122.9,84.24,38.66,0.7076
2024-11-10,102.05,53.28,48.77,0.6892
2024-11-11,132.29,71.15,61.14,0.7281
2024-11-12,113.08,66.8,46.28,0.6081
2024-11-13,86.89,60.98,25.91,0.7409
2024-11-14,139.41,70.85,68.56,0.4786
2024-11-15,87.92,55.58,32.34,0.7585
2024-11-16,83.68,49.83,33.85,0.3979
2024-11-17,96.81,48.94,47.87,0.7056
2024-11-18,82.92,53.65,29.27,0.658
2024-11-19,137.18,76.21,60.97,0.5354
2024-11-20,106.42,60.56,45.86,0.5312
2024-11-21,133.84,71.51,62.33,0.588
2024-11-22,129.25,65.36,63.89,0.5734
2024-11-23,118.54,76.13,42.41,0.774
2024-11-24,93.62,56.31,37.31,0.6039
2024-11-25,117.68,61.43,56.25,0.7019
2024-11-26,129.39,67.42,61.97,0.8298
2024-11-27,88.23,46.15,42.08,0.8002
2024-11-28,87.02,59.51,27.51,0.4562
2024-11-29,122.0,72.88,49.12,0.5308
2024-11-30,85.71,57.21,28.5,0.5692
2024-12-01,97.28,50.75,46.53,0.6588
2024-12-02,94.09,66.32,27.77,0.6055
2024-12-03,103.77,53.58,50.19,0.5519
2024-12-04,100.05,62.15,37.9,0.5711
2024-12-05,122.02,82.69,39.33,0.6094
2024-12-06,87.38,60.8,26.58,0.7281
2024-12-07,133.84,93.52,40.32,0.8252
2024-12-08,128.96,90.12,38.84,0.5394
2024-12-09,103.56,68.28,35.28,0.5249
2024-12-10,115.24,60.3,54.94,0.6343
2024-12-11,101.6,53.3,48.3,0.6539
2024-12-12,129.69,80.05,49.64,0.6622
2024-12-13,81.55,53.6,27.95,0.4502
2024-12-14,117.89,80.41,37.48,0.7363
2024-12-15,97.39,57.22,40.17,0.7899
2024-12-16,136.26,78.56,57.7,0.5506
2024-12-17,138.24,95.21,43.03,0.748
2024-12-18,124.09,62.44,61.65,0.7946
2024-12-19,134.02,81.82,52.2,0.6963
2024-12-20,118.4,69.81,48.59,0.5221
2024-12-21,114.71,75.94,38.77,0.6049
2024-12-22,103.84,72.84,31.0,0.6323
2024-12-23,90.48,54.86,35.62,0.6534
2024-12-24,96.66,66.46,30.2,0.5704
2024-12-25,91.09,53.7,37.39,0.7967
2024-12-26,86.51,48.18,38.33,0.5723
2024-12-27,96.11,49.17,46.94,0.5756
2024-12-28,123.18,62.4,60.78,0.7351
2024-12-29,105.64,56.97,48.67,0.659
2024-12-30,127.78,78.82,48.96,0.7324
