date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2024-10-01,52.46,34.32,18.14,0.5085
2024-10-02,34.95,19.85,15.1,0.5458
2024-10-03,44.4,25.66,18.74,0.7374
2024-10-04,48.04,33.1,14.94,0.498
2024-10-05,62.41,40.81,21.6,0.5704
2024-10-06,38.19,21.26,16.93,0.3996
2024-10-07,52.66,31.2,21.46,0.5577
2024-10-08,50.94,28.88,22.06,0.6056
2024-10-09,56.18,29.2,26.98,0.7089
2024-10-10,37.38,19.06,18.32,0.5577
2024-10-11,37.26,20.45,16.81,0.6328
2024-10-12,56.0,31.17,24.83,0.7876
2024-10-13,41.87,29.35,12.52,0.7818
2024-10-14,48.2,27.54,20.66,0.5797
2024-10-15,39.98,28.73,11.25,0.6783
2024-10-16,41.88,29.56,12.32,0.6
2024-10-17,33.74,17.18,16.56,0.9404
2024-10-18,38.97,26.47,12.5,0.4969
2024-10-19,36.57,22.74,13.83,0.6977
2024-10-20,38.01,24.43,13.58,0.8033
2024-10-21,33.85,17.08,16.77,0.3672
2024-10-22,41.8,21.84,19.96,0.5537
2024-10-23,43.51,24.29,19.22,0.5977
2024-10-24,43.22,28.76,14.46,0.3832
2024-10-25,35.77,25.3,10.47,0.6016
2024-10-26,61.67,41.34,20.33,0.5148
2024-10-27,45.3,25.86,19.44,0.663
2024-10-28,53.57,33.93,19.64,0.6362
2024-10-29,48.1,24.23,23.87,0.6483
2024-10-30,55.24,36.4,18.84,0.5776
2024-10-31,47.83,30.0,17.83,0.7082
2024-11-01,50.99,27.26,23.73,0.7082
2024-11-02,45.46,30.1,15.36,0.4534
2024-11-03,37.18,19.31,17.87,0.4328
2024-11-04,59.04,37.07,21.97,0.7403
2024-11-05,39.07,22.21,16.86,0.7185
2024-11-06,54.41,27.4,27.01,0.6375
2024-11-07,58.21,33.73,24.48,0.8973
2024-11-08,35.77,24.88,10.89,0.6085
2024-11-09,42.6,25.62,16.98,0.7281
2024-11-10,63.27,43.39,19.88,0.5105
2024-11-11,54.11,34.7,19.41,0.5536
2024-11-12,46.96,26.1,20.86,0.6704
2024-11-13,49.34,27.13,22.21,0.7423
2024-11-14,50.69,36.23,14.46,0.675
2024-11-15,53.03,32.55,20.48,0.6137
2024-11-16,42.82,22.42,20.4,0.5639
2024-11-17,48.65,35.0,13.65,0.7873
2024-11-18,48.53,26.49,22.04,0.6958
2024-11-19,62.35,44.42,17.93,0.8659
2024-11-20,42.29,29.12,13.17,0.4633
2024-11-21,49.64,30.72,18.92,0.6676
2024-11-22,42.15,25.52,16.63,0.6309
2024-11-23,36.17,25.77,10.4,0.6525
2024-11-24,51.26,36.44,14.82,0.4722
2024-11-25,49.58,27.18,22.4,0.6456
2024-11-26,55.86,37.83,18.03,0.6112
2024-11-27,39.84,24.5,15.34,0.8549
2024-11-28,37.28,23.21,14.07,0.5854
2024-11-29,46.35,30.54,15.81,0.6241
2024-11-30,55.87,39.34,16.53,0.7749
2024-12-01,45.73,24.5,21.23,0.5759
2024-12-02,47.9,29.2,18.7,0.6116
2024-12-03,53.74,31.59,22.15,0.5404
2024-12-04,33.81,24.04,9.77,0.7047
2024-12-05,46.7,24.83,21.87,0.8839
2024-12-06,51.34,35.48,15.86,0.5397
2024-12-07,62.62,41.54,21.08,0.6613
2024-12-08,53.41,35.11,18.3,0.5052
2024-12-09,39.16,27.95,11.21,0.99
2024-12-10,59.6,32.21,27.39,0.61
2024-12-11,38.58,20.55,18.03,0.6322
2024-12-12,47.43,31.03,16.4,0.7392
2024-12-13,36.49,22.15,14.34,0.4774
2024-12-14,45.66,24.12,21.54,0.5043
2024-12-15,60.52,30.7,29.82,0.4854
2024-12-16,51.43,25.88,25.55,0.5706
2024-12-17,56.56,38.44,18.12,0.2682
2024-12-18,55.5,32.75,22.75,0.8108
2024-12-19,50.64,29.23,21.41,0.4923
2024-12-20,54.18,33.0,21.18,0.9524
2024-12-21,47.08,28.96,18.12,0.6687
2024-12-22,60.16,31.86,28.3,0.7352
2024-12-23,54.91,30.05,24.86,0.6302
2024-12-24,42.35,24.94,17.41,0.5932
2024-12-25,53.08,35.54,17.54,0.5534
2024-12-26,37.29,23.61,13.68,0.5738
2024-12-27,54.15,38.27,15.88,0.7042
2024-12-28,51.02,32.46,18.56,0.7035
2024-12-29,35.21,20.53,14.68,0.9162
2024-12-30,58.02,37.34,20.68,0.8192
