transaction_id,timestamp,amount_sar,payment_method
biz_0424-000003,2024-10-01 12:20:30,1402.78,cash
biz_0424-000016,2024-10-01 14:16:05,335.29,mada
biz_0424-000012,2024-10-01 14:55:21,274.18,mada
biz_0424-000008,2024-10-01 15:49:38,555.6,mada
biz_0424-000006,2024-10-01 16:01:52,722.32,mada
biz_0424-000011,2024-10-01 16:17:55,318.14,mada
biz_0424-000005,2024-10-01 17:22:49,244.88,mada
biz_0424-000010,2024-10-01 17:30:49,210.24,mada
biz_0424-000002,2024-10-01 17:53:22,70.96,mada
biz_0424-000013,2024-10-01 18:07:56,491.28,cash
biz_0424-000004,2024-10-01 19:00:15,419.85,cash
biz_0424-000009,2024-10-01 19:08:26,197.5,mada
biz_0424-000007,2024-10-01 19:09:58,261.6,mada
biz_0424-000001,2024-10-01 20:06:00,522.44,mada
biz_0424-000014,2024-10-01 20:40:15,121.38,mada
biz_0424-000015,2024-10-01 21:13:33,356.57,cash
biz_0424-000038,2024-10-02 12:11:05,355.38,mada
biz_0424-000026,2024-10-02 12:18:45,218.82,mada
biz_0424-000027,2024-10-02 13:52:40,581.61,mada
biz_0424-000037,2024-10-02 15:18:03,78.2,mada
biz_0424-000033,2024-10-02 16:00:50,174.73,mada
biz_0424-000020,2024-10-02 16:16:57,780.77,mada
biz_0424-000023,2024-10-02 16:20:33,302.23,mada
biz_0424-000035,2024-10-02 16:26:29,484.6,mada
biz_0424-000024,2024-10-02 17:16:57,663.86,mada
biz_0424-000022,2024-10-02 17:42:13,222.97,mada
biz_0424-000017,2024-10-02 18:09:57,113.61,credit_card
biz_0424-000034,2024-10-02 18:23:26,428.15,cash
biz_0424-000021,2024-10-02 18:38:31,113.5,mada
biz_0424-000025,2024-10-02 18:42:01,402.05,mada
biz_0424-000019,2024-10-02 19:10:53,270.81,mada
biz_0424-000032,2024-10-02 19:24:14,535.09,cash
biz_0424-000018,2024-10-02 19:49:39,122.95,cash
biz_0424-000030,2024-10-02 20:08:05,233.32,mada
biz_0424-000029,2024-10-02 20:22:55,260.73,mada
biz_0424-000031,2024-10-02 21:01:07,432.27,mada
biz_0424-000028,2024-10-02 21:45:27,300.73,mada
biz_0424-000036,2024-10-02 23:33:11,386.26,mada
biz_0424-000041,2024-10-03 09:14:39,1173.87,cash
biz_0424-000043,2024-10-03 12:11:43,910.02,mada
biz_0424-000050,2024-10-03 13:30:51,370.71,mada
biz_0424-000046,2024-10-03 16:51:35,121.65,cash
biz_0424-000042,2024-10-03 17:28:12,160.25,mada
biz_0424-000045,2024-10-03 17:32:14,241.24,mada
biz_0424-000040,2024-10-03 17:37:02,235.13,mada
biz_0424-000039,2024-10-03 17:48:13,351.83,mada
biz_0424-000044,2024-10-03 17:53:45,394.63,mada
biz_0424-000051,2024-10-03 18:42:33,278.51,mada
biz_0424-000048,2024-10-03 19:39:02,448.92,mada
biz_0424-000047,2024-10-03 21:22:48,401.46,mada
biz_0424-000049,2024-10-03 21:46:15,712.2,mada
biz_0424-000056,2024-10-04 10:54:18,306.83,mada
biz_0424-000065,2024-10-04 11:33:08,220.48,mada
biz_0424-000063,2024-10-04 13:11:34,439.97,mada
biz_0424-000064,2024-10-04 13:21:54,151.98,mada
biz_0424-000055,2024-10-04 13:35:20,569.67,cash
biz_0424-000059,2024-10-04 14:13:38,413.06,mada
biz_0424-000061,2024-10-04 14:34:31,171.48,cash
biz_0424-000060,2024-10-04 16:17:55,318.98,mada
biz_0424-000054,2024-10-04 17:02:59,227.52,mada
biz_0424-000058,2024-10-04 18:21:23,603.9,mada
biz_0424-000062,2024-10-04 19:25:05,534.34,mada
biz_0424-000053,2024-10-04 19:29:17,476.66,cash
biz_0424-000057,2024-10-04 21:04:41,51.07,mada
biz_0424-000052,2024-10-04 21:19:49,178.84,mada
biz_0424-000076,2024-10-05 12:08:53,101.22,mada
