date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2024-10-01,468.85,247.52,221.33,0.7205
2024-10-02,486.56,329.08,157.48,0.6819
2024-10-03,511.93,273.58,238.35,0.7139
2024-10-04,385.04,210.15,174.89,0.5209
2024-10-05,577.58,319.73,257.85,0.5891
2024-10-06,498.77,335.35,163.42,0.6007
2024-10-07,385.15,196.73,188.42,0.662
2024-10-08,475.52,309.72,165.8,0.5848
2024-10-09,384.73,253.31,131.42,0.916
2024-10-10,418.59,281.14,137.45,0.7523
2024-10-11,479.98,264.75,215.23,0.6789
2024-10-12,465.37,246.69,218.68,0.6888
2024-10-13,459.26,242.86,216.4,0.614
2024-10-14,481.46,271.53,209.93,0.7855
2024-10-15,415.31,256.06,159.25,0.5127
2024-10-16,608.89,381.6,227.29,0.9566
2024-10-17,597.09,426.17,170.92,0.6414
2024-10-18,580.9,315.44,265.46,0.5265
2024-10-19,388.86,263.25,125.61,0.4489
2024-10-20,470.45,316.21,154.24,0.5841
2024-10-21,494.22,249.37,244.85,0.706
2024-10-22,416.84,220.68,196.16,0.483
2024-10-23,415.57,281.97,133.6,0.5701
2024-10-24,476.68,273.68,203.0,0.6135
2024-10-25,374.89,259.64,115.25,0.9217
2024-10-26,486.31,298.78,187.53,0.8004
2024-10-27,565.68,372.62,193.06,0.6825
2024-10-28,358.03,187.94,170.09,0.4583
2024-10-29,477.45,342.78,134.67,0.69
2024-10-30,592.83,399.43,193.4,0.5704
2024-10-31,520.73,272.13,248.6,0.7936
2024-11-01,546.58,280.91,265.67,0.5245
2024-11-02,502.34,308.29,194.05,0.8085
2024-11-03,530.05,275.53,254.52,0.6118
2024-11-04,396.31,267.52,128.79,0.8574
2024-11-05,480.88,291.9,188.98,0.7912
2024-11-06,437.64,310.44,127.2,0.8048
2024-11-07,464.57,306.7,157.87,0.5506
2024-11-08,550.16,337.77,212.39,0.5175
2024-11-09,470.84,253.73,217.11,0.6608
2024-11-10,410.59,284.32,126.27,0.6082
2024-11-11,535.14,357.55,177.59,0.7807
2024-11-12,477.79,258.31,219.48,0.5787
2024-11-13,475.23,304.91,170.32,0.772
2024-11-14,546.58,309.13,237.45,0.6693
2024-11-15,411.55,238.65,172.9,0.5387
2024-11-16,464.45,297.49,166.96,0.8655
2024-11-17,586.02,331.16,254.86,0.6834
2024-11-18,522.19,326.13,196.06,0.5766
2024-11-19,519.75,261.49,258.26,0.6404
2024-11-20,525.76,371.51,154.25,0.4749
2024-11-21,385.18,196.22,188.96,0.6889
2024-11-22,591.23,362.75,228.48,0.8849
2024-11-23,368.29,252.04,116.25,0.4962
2024-11-24,543.29,275.99,267.3,0.5545
2024-11-25,479.97,323.81,156.16,0.4551
2024-11-26,412.42,227.34,185.08,0.733
2024-11-27,477.72,269.02,208.7,0.5917
2024-11-28,420.99,282.75,138.24,0.571
2024-11-29,440.64,266.99,173.65,0.7709
2024-11-30,472.16,270.13,202.03,0.5116
2024-12-01,425.33,213.45,211.88,0.6283
2024-12-02,455.01,282.51,172.5,0.4717
2024-12-03,527.9,313.17,214.73,0.78
2024-12-04,400.99,231.79,169.2,0.7944
2024-12-05,362.0,256.68,105.32,0.5867
2024-12-06,357.28,242.93,114.35,0.7608
2024-12-07,459.78,250.19,209.59,0.5392
2024-12-08,530.26,371.74,158.52,0.6612
2024-12-09,367.88,236.21,131.67,0.6018
2024-12-10,477.59,303.19,174.4,0.4137
2024-12-11,504.21,299.14,205.07,0.8731
2024-12-12,421.56,251.0,170.56,0.5703
2024-12-13,379.15,240.7,138.45,0.7458
2024-12-14,466.56,312.93,153.63,0.6081
2024-12-15,423.46,304.54,118.92,0.3577
2024-12-16,500.8,283.7,217.1,0.5578
2024-12-17,382.67,194.62,188.05,0.5877
2024-12-18,416.22,267.1,149.12,0.6309
2024-12-19,595.17,403.08,192.09,0.7726
2024-12-20,359.51,258.35,101.16,0.6278
2024-12-21,423.05,298.35,124.7,0.4214
2024-12-22,415.99,217.33,198.66,0.6734
2024-12-23,392.7,279.35,113.35,0.7966
2024-12-24,526.27,304.12,222.15,0.6262
2024-12-25,538.03,354.77,183.26,0.714
2024-12-26,473.74,237.83,235.91,0.5537
2024-12-27,523.51,283.87,239.64,0.7825
2024-12-28,389.15,241.01,148.14,0.8912
2024-12-29,522.89,315.99,206.9,0.5603
2024-12-30,383.55,243.8,139.75,0.6364
