date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2024-10-01,43.63,29.21,14.42,0.6275
2024-10-02,43.79,26.94,16.85,0.687
2024-10-03,56.18,33.02,23.16,0.7024
2024-10-04,73.13,50.36,22.77,0.6278
2024-10-05,65.24,41.44,23.8,0.7594
2024-10-06,71.82,46.2,25.62,0.531
2024-10-07,54.0,28.55,25.45,0.6677
2024-10-08,55.07,30.31,24.76,0.7128
2024-10-09,77.93,55.48,22.45,0.7261
2024-10-10,42.41,26.45,15.96,0.6289
2024-10-11,78.72,49.33,29.39,0.6884
2024-10-12,66.42,35.42,31.0,0.8616
2024-10-13,55.62,34.85,20.77,0.5822
2024-10-14,63.19,42.55,20.64,0.6712
2024-10-15,76.68,42.2,34.48,0.7725
2024-10-16,45.87,30.43,15.44,0.7872
2024-10-17,42.14,21.22,20.92,0.646
2024-10-18,79.98,43.22,36.76,0.6648
2024-10-19,56.49,29.3,27.19,0.8722
2024-10-20,80.94,42.61,38.33,0.5578
2024-10-21,70.3,42.86,27.44,0.6006
2024-10-22,48.88,33.93,14.95,0.927
2024-10-23,75.87,53.36,22.51,0.6436
2024-10-24,41.5,26.61,14.89,0.5598
2024-10-25,80.05,51.85,28.2,0.566
2024-10-26,72.71,43.57,29.14,0.4745
2024-10-27,41.98,22.34,19.64,0.6199
2024-10-28,54.73,31.19,23.54,0.5846
2024-10-29,76.0,48.98,27.02,0.6337
2024-10-30,76.42,50.69,25.73,0.8673
2024-10-31,78.46,48.27,30.19,0.7398
2024-11-01,49.98,27.25,22.73,0.4268
2024-11-02,45.38,26.27,19.11,0.4808
2024-11-03,51.11,35.35,15.76,0.7928
2024-11-04,62.55,32.17,30.38,0.7422
2024-11-05,68.99,43.82,25.17,0.6915
2024-11-06,49.32,27.92,21.4,0.715
2024-11-07,65.28,34.57,30.71,0.7446
2024-11-08,53.86,28.4,25.46,0.4771
2024-11-09,79.66,56.75,22.91,0.6704
2024-11-10,79.87,46.86,33.01,0.6227
2024-11-11,64.96,41.34,23.62,0.6226
2024-11-12,75.75,46.16,29.59,0.6475
2024-11-13,41.72,21.97,19.75,0.5585
2024-11-14,45.86,31.45,14.41,0.2409
2024-11-15,78.32,44.07,34.25,0.6435
2024-11-16,51.3,30.04,21.26,0.6933
2024-11-17,42.69,25.33,17.36,0.7079
2024-11-18,54.58,29.66,24.92,0.527
2024-11-19,48.92,28.89,20.03,0.5731
2024-11-20,70.24,45.61,24.63,0.4503
2024-11-21,69.24,37.22,32.02,0.5329
2024-11-22,67.54,43.02,24.52,0.6555
2024-11-23,42.4,23.9,18.5,0.59
2024-11-24,57.3,38.82,18.48,0.6528
2024-11-25,51.52,32.72,18.8,0.3525
2024-11-26,48.23,26.36,21.87,0.7741
2024-11-27,42.21,22.93,19.28,0.7322
2024-11-28,59.64,41.31,18.33,0.5313
2024-11-29,71.03,44.91,26.12,0.6884
2024-11-30,79.03,45.24,33.79,0.6873
2024-12-01,72.51,43.89,28.62,0.851
2024-12-02,74.65,45.52,29.13,0.6782
2024-12-03,46.83,26.43,20.4,0.7882
2024-12-04,60.96,38.0,22.96,0.7788
2024-12-05,80.04,47.34,32.7,0.6369
2024-12-06,52.47,36.59,15.88,0.607
2024-12-07,62.99,43.78,19.21,0.4177
2024-12-08,58.57,29.36,29.21,0.5049
2024-12-09,51.99,27.65,24.34,0.665
2024-12-10,81.42,58.24,23.18,0.5791
2024-12-11,64.93,43.2,21.73,0.3819
2024-12-12,73.2,51.92,21.28,0.7191
2024-12-13,76.44,46.06,30.38,0.6117
2024-12-14,67.18,39.67,27.51,0.8455
2024-12-15,73.51,46.32,27.19,0.6262
2024-12-16,70.54,42.2,28.34,0.7616
2024-12-17,66.29,38.38,27.91,0.5143
2024-12-18,43.26,23.02,20.24,0.7491
2024-12-19,59.31,35.23,24.08,0.6614
2024-12-20,55.03,35.54,19.49,0.7518
2024-12-21,61.92,34.26,27.66,0.6936
2024-12-22,44.22,29.51,14.71,0.6203
2024-12-23,74.73,41.08,33.65,0.7169
2024-12-24,70.67,36.72,33.95,0.8422
2024-12-25,48.73,24.62,24.11,0.571
2024-12-26,71.78,47.71,24.07,0.7701
2024-12-27,76.13,44.24,31.89,0.7214
2024-12-28,62.0,37.87,24.13,0.544
2024-12-29,62.03,31.15,30.88,0.7898
2024-12-30,67.61,36.58,31.03,0.6295
