transaction_id,timestamp,amount_sar,payment_method
biz_0471-000012,2024-10-01 10:43:02,25.71,mada
biz_0471-000016,2024-10-01 11:52:45,22.09,mada
biz_0471-000017,2024-10-01 12:18:25,44.62,cash
biz_0471-000004,2024-10-01 12:40:44,33.04,mada
biz_0471-000003,2024-10-01 13:09:10,76.32,cash
biz_0471-000009,2024-10-01 13:46:36,27.47,cash
biz_0471-000014,2024-10-01 15:11:32,24.73,cash
biz_0471-000015,2024-10-01 15:24:06,28.84,cash
biz_0471-000006,2024-10-01 15:26:36,26.76,mada
biz_0471-000010,2024-10-01 15:29:53,23.74,mada
biz_0471-000001,2024-10-01 15:53:54,38.83,mada
biz_0471-000011,2024-10-01 17:04:59,52.15,mada
biz_0471-000007,2024-10-01 17:34:12,19.5,cash
biz_0471-000005,2024-10-01 17:40:06,17.67,mada
biz_0471-000002,2024-10-01 18:03:15,42.99,credit_card
biz_0471-000013,2024-10-01 19:22:43,23.74,mada
biz_0471-000008,2024-10-01 21:09:54,17.38,cash
biz_0471-000034,2024-10-02 09:49:18,36.67,credit_card
biz_0471-000019,2024-10-02 09:50:55,44.71,cash
biz_0471-000038,2024-10-02 10:43:38,53.47,mada
biz_0471-000020,2024-10-02 10:45:58,31.39,cash
biz_0471-000029,2024-10-02 10:53:21,58.22,credit_card
biz_0471-000022,2024-10-02 10:58:43,28.53,credit_card
biz_0471-000018,2024-10-02 11:04:43,14.41,credit_card
biz_0471-000030,2024-10-02 11:16:13,22.52,cash
biz_0471-000032,2024-10-02 11:16:23,19.84,mada
biz_0471-000021,2024-10-02 11:45:24,20.19,mada
biz_0471-000041,2024-10-02 12:20:08,27.95,mada
biz_0471-000039,2024-10-02 12:30:30,39.4,mada
biz_0471-000042,2024-10-02 13:13:18,24.95,cash
biz_0471-000025,2024-10-02 13:29:37,20.5,credit_card
biz_0471-000024,2024-10-02 13:36:53,38.25,mada
biz_0471-000036,2024-10-02 13:47:32,29.76,cash
biz_0471-000037,2024-10-02 13:52:55,21.91,cash
biz_0471-000023,2024-10-02 14:29:58,30.33,mada
biz_0471-000026,2024-10-02 15:55:17,30.48,cash
biz_0471-000040,2024-10-02 16:40:51,29.88,mada
biz_0471-000035,2024-10-02 17:01:07,24.44,mada
biz_0471-000033,2024-10-02 17:36:24,16.15,mada
biz_0471-000027,2024-10-02 17:38:32,34.01,cash
biz_0471-000031,2024-10-02 18:00:26,15.17,cash
biz_0471-000028,2024-10-02 20:39:18,46.7,credit_card
biz_0471-000054,2024-10-03 10:13:35,18.69,mada
biz_0471-000045,2024-10-03 10:32:54,30.61,mada
