transaction_id,timestamp,amount_sar,payment_method
biz_0467-000018,2024-10-01 09:01:08,447.38,mada
biz_0467-000004,2024-10-01 09:06:33,344.21,cash
biz_0467-000003,2024-10-01 10:58:05,113.82,credit_card
biz_0467-000011,2024-10-01 11:51:14,198.52,mada
biz_0467-000002,2024-10-01 11:56:54,204.13,mada
biz_0467-000001,2024-10-01 12:26:30,445.01,cash
biz_0467-000020,2024-10-01 14:04:04,87.47,mada
biz_0467-000021,2024-10-01 14:08:33,214.83,credit_card
biz_0467-000007,2024-10-01 14:54:59,172.15,mada
biz_0467-000014,2024-10-01 15:03:28,48.88,mada
biz_0467-000019,2024-10-01 15:26:11,98.09,cash
biz_0467-000012,2024-10-01 15:39:00,200.33,cash
biz_0467-000009,2024-10-01 15:44:14,98.26,mada
biz_0467-000005,2024-10-01 16:06:57,206.07,cash
biz_0467-000017,2024-10-01 16:08:58,116.08,mada
biz_0467-000015,2024-10-01 16:20:32,332.83,mada
biz_0467-000013,2024-10-01 16:41:14,99.67,mada
biz_0467-000006,2024-10-01 16:42:20,370.81,mada
biz_0467-000016,2024-10-01 16:53:56,125.67,mada
biz_0467-000008,2024-10-01 17:08:24,171.31,mada
biz_0467-000010,2024-10-01 18:00:37,317.17,credit_card
biz_0467-000024,2024-10-02 09:07:40,73.96,mada
biz_0467-000031,2024-10-02 09:31:35,230.78,mada
biz_0467-000027,2024-10-02 10:17:12,177.17,mada
biz_0467-000040,2024-10-02 10:57:05,149.76,mada
biz_0467-000023,2024-10-02 10:59:55,143.11,mada
biz_0467-000025,2024-10-02 11:29:30,112.42,mada
biz_0467-000026,2024-10-02 11:44:58,385.93,mada
biz_0467-000038,2024-10-02 12:21:47,99.29,cash
biz_0467-000022,2024-10-02 12:47:34,156.37,mada
biz_0467-000029,2024-10-02 14:46:45,257.78,mada
biz_0467-000030,2024-10-02 15:06:21,78.52,mada
biz_0467-000032,2024-10-02 15:18:11,200.43,credit_card
biz_0467-000036,2024-10-02 15:22:54,165.48,mada
biz_0467-000041,2024-10-02 15:52:39,325.19,mada
biz_0467-000039,2024-10-02 16:24:20,196.02,mada
biz_0467-000034,2024-10-02 17:05:48,122.0,mada
biz_0467-000033,2024-10-02 17:44:51,334.39,mada
biz_0467-000035,2024-10-02 18:26:40,276.33,mada
biz_0467-000028,2024-10-02 19:18:38,144.36,mada
biz_0467-000037,2024-10-02 19:40:25,165.3,mada
biz_0467-000050,2024-10-03 08:28:57,50.08,mada
biz_0467-000059,2024-10-03 09:07:03,425.13,mada
biz_0467-000054,2024-10-03 09:34:36,83.76,mada
biz_0467-000048,2024-10-03 10:19:42,101.08,mada
biz_0467-000049,2024-10-03 10:55:33,204.59,mada
biz_0467-000058,2024-10-03 10:58:03,282.67,cash
biz_0467-000047,2024-10-03 11:04:40,113.04,cash
biz_0467-000045,2024-10-03 12:26:33,136.97,cash
biz_0467-000053,2024-10-03 15:14:53,99.91,credit_card
biz_0467-000046,2024-10-03 15:18:39,264.27,mada
biz_0467-000042,2024-10-03 16:24:06,210.38,mada
biz_0467-000044,2024-10-03 16:59:39,177.09,mada
biz_0467-000056,2024-10-03 17:02:15,258.82,mada
biz_0467-000055,2024-10-03 17:23:25,445.28,mada
biz_0467-000051,2024-10-03 17:51:01,351.31,cash
biz_0467-000043,2024-10-03 19:02:34,538.4,mada
biz_0467-000052,2024-10-03 19:27:59,56.3,mada
biz_0467-000057,2024-10-03 20:04:37,354.45,credit_card
biz_0467-000077,2024-10-04 08:14:01,268.07,mada
biz_0467-000074,2024-10-04 09:22:24,498.75,mada
biz_0467-000079,2024-10-04 11:04:52,146.66,mada
biz_0467-000066,2024-10-04 11:08:08,136.62,cash
biz_0467-000067,2024-10-04 11:23:12,397.6,mada
biz_0467-000073,2024-10-04 11:32:18,198.0,mada
biz_0467-000076,2024-10-04 11:36:57,453.79,mada
biz_0467-000064,2024-10-04 13:49:01,164.16,mada
biz_0467-000063,2024-10-04 13:54:42,376.89,mada
biz_0467-000065,2024-10-04 14:14:28,144.22,cash
biz_0467-000070,2024-10-04 14:33:23,109.77,mada
biz_0467-000081,2024-10-04 14:41:27,203.87,mada
biz_0467-000080,2024-10-04 15:04:54,102.5,cash
biz_0467-000071,2024-10-04 15:08:07,535.79,cash
biz_0467-000082,2024-10-04 15:53:24,87.74,mada
biz_0467-000062,2024-10-04 16:12:29,307.11,credit_card
biz_0467-000068,2024-10-04 16:31:38,447.48,mada
biz_0467-000069,2024-10-04 16:51:50,115.9,mada
biz_0467-000072,2024-10-04 17:04:47,293.97,mada
biz_0467-000061,2024-10-04 17:12:06,197.56,mada
biz_0467-000075,2024-10-04 17:40:02,211.59,mada
biz_0467-000078,2024-10-04 17:59:47,162.72,credit_card
biz_0467-000083,2024-10-04 19:13:35,93.15,mada
biz_0467-000060,2024-10-04 20:02:38,199.82,credit_card
biz_0467-000084,2024-10-05 09:33:55,347.3,cash
biz_0467-000096,2024-10-05 09:40:14,637.38,mada
biz_0467-000107,2024-10-05 09:48:58,137.85,mada
biz_0467-000102,2024-10-05 10:22:22,272.73,credit_card
biz_0467-000094,2024-10-05 10:26:04,90.32,mada
biz_0467-000090,2024-10-05 10:42:04,416.26,mada
biz_0467-000085,2024-10-05 11:42:15,100.25,mada
biz_0467-000086,2024-10-05 11:42:44,131.87,cash
biz_0467-000087,2024-10-05 11:56:21,707.95,mada
biz_0467-000099,2024-10-05 12:00:04,814.18,cash
biz_0467-000097,2024-10-05 12:10:56,289.93,mada
biz_0467-000093,2024-10-05 12:24:12,189.45,mada
biz_0467-000105,2024-10-05 12:35:04,171.59,mada
biz_0467-000095,2024-10-05 13:49:13,253.57,cash
biz_0467-000088,2024-10-05 14:02:37,240.74,mada
biz_0467-000101,2024-10-05 15:06:29,247.54,mada
biz_0467-000103,2024-10-05 15:53:49,381.35,cash
biz_0467-000104,2024-10-05 16:02:42,1284.16,mada
biz_0467-000091,2024-10-05 16:50:18,120.23,mada
biz_0467-000092,2024-10-05 16:58:42,218.91,mada
biz_0467-000098,2024-10-05 17:10:37,421.37,mada
biz_0467-000089,2024-10-05 17:42:02,152.21,mada
biz_0467-000100,2024-10-05 18:01:36,214.24,mada
biz_0467-000106,2024-10-05 19:36:01,245.02,mada
biz_0467-000126,2024-10-06 09:14:00,145.84,mada
biz_0467-000116,2024-10-06 10:11:25,396.1,mada
biz_0467-000111,2024-10-06 10:46:11,94.54,mada
biz_0467-000127,2024-10-06 11:06:56,122.28,mada
biz_0467-000112,2024-10-06 11:07:43,125.54,credit_card
biz_0467-000124,2024-10-06 11:09:18,113.76,mada
biz_0467-000125,2024-10-06 11:34:12,236.48,credit_card
biz_0467-000115,2024-10-06 12:04:51,71.38,mada
biz_0467-000128,2024-10-06 12:31:14,302.16,credit_card
biz_0467-000114,2024-10-06 12:47:14,205.78,cash
biz_0467-000123,2024-10-06 13:17:19,526.56,mada
biz_0467-000117,2024-10-06 13:29:30,149.76,mada
biz_0467-000122,2024-10-06 14:43:30,194.21,credit_card
biz_0467-000110,2024-10-06 16:30:09,127.34,credit_card
biz_0467-000118,2024-10-06 16:30:39,416.38,mada
biz_0467-000119,2024-10-06 16:46:00,131.45,cash
biz_0467-000120,2024-10-06 16:51:01,392.68,mada
biz_0467-000108,2024-10-06 16:56:38,384.91,cash
biz_0467-000113,2024-10-06 17:04:58,486.73,mada
biz_0467-000109,2024-10-06 17:08:26,209.55,mada
biz_0467-000130,2024-10-06 17:30:31,111.11,mada
biz_0467-000129,2024-10-06 17:53:35,400.79,mada
biz_0467-000121,2024-10-06 18:23:23,151.75,mada
biz_0467-000141,2024-10-07 08:22:33,109.66,mada
biz_0467-000139,2024-10-07 10:03:11,106.89,credit_card
biz_0467-000154,2024-10-07 10:12:06,66.38,mada
biz_0467-000131,2024-10-07 10:35:16,77.56,mada
biz_0467-000138,2024-10-07 10:37:06,276.51,mada
biz_0467-000132,2024-10-07 10:56:17,676.33,mada
biz_0467-000137,2024-10-07 11:17:30,153.78,cash
biz_0467-000140,2024-10-07 11:27:46,266.31,credit_card
biz_0467-000148,2024-10-07 11:38:30,384.24,mada
biz_0467-000135,2024-10-07 12:27:32,171.04,credit_card
biz_0467-000147,2024-10-07 12:34:07,490.37,mada
biz_0467-000153,2024-10-07 14:16:17,109.78,mada
biz_0467-000151,2024-10-07 15:00:06,245.13,cash
biz_0467-000145,2024-10-07 15:52:01,367.06,mada
biz_0467-000146,2024-10-07 16:09:29,369.01,credit_card
biz_0467-000134,2024-10-07 16:12:16,343.04,credit_card
biz_0467-000133,2024-10-07 16:13:55,343.34,mada
biz_0467-000149,2024-10-07 16:15:17,234.51,cash
biz_0467-000142,2024-10-07 16:22:13,221.39,mada
biz_0467-000144,2024-10-07 16:52:51,250.02,mada
biz_0467-000156,2024-10-07 17:10:44,230.91,cash
biz_0467-000150,2024-10-07 17:56:25,98.17,mada
biz_0467-000136,2024-10-07 18:29:57,63.75,mada
biz_0467-000143,2024-10-07 18:33:21,149.12,mada
biz_0467-000152,2024-10-07 18:46:39,110.93,credit_card
biz_0467-000155,2024-10-07 20:10:58,654.09,cash
biz_0467-000161,2024-10-08 11:12:38,315.12,mada
biz_0467-000160,2024-10-08 11:33:58,253.41,cash
biz_0467-000158,2024-10-08 12:08:45,213.68,credit_card
biz_0467-000167,2024-10-08 15:02:39,255.17,mada
biz_0467-000164,2024-10-08 15:09:47,166.49,mada
biz_0467-000159,2024-10-08 15:42:08,166.81,cash
biz_0467-000166,2024-10-08 16:11:26,510.18,mada
biz_0467-000163,2024-10-08 16:38:32,265.12,mada
biz_0467-000157,2024-10-08 16:55:27,65.87,mada
biz_0467-000162,2024-10-08 17:46:31,410.78,mada
biz_0467-000165,2024-10-08 18:11:58,218.84,mada
biz_0467-000168,2024-10-08 19:39:20,333.86,mada
biz_0467-000188,2024-10-09 08:56:16,315.85,mada
biz_0467-000170,2024-10-09 09:21:16,104.06,mada
biz_0467-000184,2024-10-09 10:04:14,292.39,mada
biz_0467-000180,2024-10-09 10:08:06,233.67,mada
biz_0467-000179,2024-10-09 10:19:27,260.63,cash
biz_0467-000190,2024-10-09 10:36:47,211.85,mada
biz_0467-000178,2024-10-09 10:57:58,408.67,mada
biz_0467-000176,2024-10-09 11:18:49,196.96,mada
biz_0467-000183,2024-10-09 11:53:27,136.36,mada
biz_0467-000189,2024-10-09 12:07:12,158.67,cash
biz_0467-000169,2024-10-09 13:39:55,311.58,mada
biz_0467-000191,2024-10-09 14:05:31,161.41,mada
biz_0467-000172,2024-10-09 14:22:29,264.95,mada
biz_0467-000185,2024-10-09 14:25:38,188.97,mada
biz_0467-000181,2024-10-09 14:29:28,361.23,credit_card
biz_0467-000186,2024-10-09 14:55:49,151.26,mada
biz_0467-000177,2024-10-09 15:16:58,202.12,mada
biz_0467-000174,2024-10-09 15:18:39,406.27,cash
biz_0467-000173,2024-10-09 17:09:14,57.24,mada
biz_0467-000187,2024-10-09 17:13:41,92.59,cash
biz_0467-000175,2024-10-09 17:46:50,191.04,mada
biz_0467-000171,2024-10-09 18:03:33,287.9,mada
biz_0467-000182,2024-10-09 18:56:21,118.44,credit_card
biz_0467-000202,2024-10-10 09:23:20,448.37,mada
biz_0467-000205,2024-10-10 10:36:26,225.51,mada
biz_0467-000209,2024-10-10 10:52:43,230.69,mada
biz_0467-000197,2024-10-10 11:13:48,377.37,mada
biz_0467-000208,2024-10-10 11:19:48,262.63,mada
biz_0467-000194,2024-10-10 11:29:52,154.97,cash
biz_0467-000196,2024-10-10 11:34:59,143.1,mada
biz_0467-000210,2024-10-10 11:43:10,358.63,mada
biz_0467-000195,2024-10-10 12:25:22,255.12,credit_card
biz_0467-000193,2024-10-10 12:39:10,973.09,mada
biz_0467-000192,2024-10-10 13:06:23,109.77,mada
