date,total_kwh,peak_hour_kwh,off_peak_kwh,energy_efficiency_score
2024-10-01,25.78,13.66,12.12,0.843
2024-10-02,33.67,23.23,10.44,0.4922
2024-10-03,29.91,19.19,10.72,0.6672
2024-10-04,30.45,19.67,10.78,0.8018
2024-10-05,29.85,20.54,9.31,0.3522
2024-10-06,16.7,11.91,4.79,0.6418
2024-10-07,33.22,19.33,13.89,0.6745
2024-10-08,19.05,10.64,8.41,0.7072
2024-10-09,25.04,17.45,7.59,0.6254
2024-10-10,30.08,21.19,8.89,0.7657
2024-10-11,18.37,11.18,7.19,0.4585
2024-10-12,17.43,10.29,7.14,0.6266
2024-10-13,30.84,21.06,9.78,0.7453
2024-10-14,19.1,10.87,8.23,0.8287
2024-10-15,15.89,10.14,5.75,0.5824
2024-10-16,27.75,19.15,8.6,0.7594
2024-10-17,32.26,17.8,14.46,0.7595
2024-10-18,19.96,10.9,9.06,0.3135
2024-10-19,30.17,16.06,14.11,0.6595
2024-10-20,17.27,11.04,6.23,0.4776
2024-10-21,33.74,20.89,12.85,0.6272
2024-10-22,18.16,11.09,7.07,0.6026
2024-10-23,26.14,18.75,7.39,0.5022
2024-10-24,22.93,13.86,9.07,0.6083
2024-10-25,27.98,19.58,8.4,0.7421
2024-10-26,16.87,9.89,6.98,0.6366
2024-10-27,28.08,14.35,13.73,0.5663
2024-10-28,34.26,24.17,10.09,0.6008
2024-10-29,16.51,10.02,6.49,0.6416
2024-10-30,17.75,9.7,8.05,0.6056
2024-10-31,20.3,10.77,9.53,0.6401
2024-11-01,24.86,14.52,10.34,0.5344
2024-11-02,19.95,10.51,9.44,0.7123
2024-11-03,16.99,9.8,7.19,0.6967
2024-11-04,29.32,20.65,8.67,0.5076
2024-11-05,18.22,9.99,8.23,0.5613
2024-11-06,28.97,14.92,14.05,0.8738
2024-11-07,31.62,20.08,11.54,0.739
2024-11-08,21.08,14.8,6.28,0.6682
2024-11-09,25.08,17.83,7.25,0.7912
2024-11-10,27.08,19.13,7.95,0.6428
2024-11-11,29.23,17.4,11.83,0.7896
2024-11-12,19.29,10.26,9.03,0.6219
2024-11-13,23.41,13.76,9.65,0.6655
2024-11-14,16.35,8.49,7.86,0.8257
2024-11-15,20.14,11.0,9.14,0.5142
2024-11-16,33.61,21.56,12.05,0.559
2024-11-17,32.53,20.36,12.17,0.3275
2024-11-18,18.31,10.75,7.56,0.7143
2024-11-19,24.83,12.82,12.01,0.3874
2024-11-20,25.91,16.07,9.84,0.7811
2024-11-21,20.13,11.37,8.76,0.6399
2024-11-22,21.64,14.65,6.99,0.6545
2024-11-23,27.86,14.53,13.33,0.6283
2024-11-24,24.77,14.39,10.38,0.5561
2024-11-25,19.05,12.04,7.01,0.7064
2024-11-26,21.09,14.17,6.92,0.609
2024-11-27,33.98,23.18,10.8,0.5616
2024-11-28,23.19,13.6,9.59,0.5195
2024-11-29,26.37,14.78,11.59,0.6634
2024-11-30,34.49,23.57,10.92,0.5509
2024-12-01,30.87,18.88,11.99,0.7158
2024-12-02,19.68,12.49,7.19,0.6342
2024-12-03,17.85,10.78,7.07,0.7415
2024-12-04,27.9,16.83,11.07,0.6515
2024-12-05,16.92,10.66,6.26,0.6788
2024-12-06,26.04,13.7,12.34,0.6678
2024-12-07,24.27,15.28,8.99,0.2632
2024-12-08,32.22,17.19,15.03,0.7902
2024-12-09,26.81,17.91,8.9,0.7947
2024-12-10,19.42,11.09,8.33,0.6592
2024-12-11,32.09,19.62,12.47,0.5993
2024-12-12,34.09,23.51,10.58,0.5625
2024-12-13,27.48,17.46,10.02,0.7341
2024-12-14,27.48,18.85,8.63,0.6233
2024-12-15,21.14,13.51,7.63,0.5267
2024-12-16,32.82,17.35,15.47,0.5926
2024-12-17,24.11,15.01,9.1,0.543
2024-12-18,26.65,17.58,9.07,0.5907
2024-12-19,18.76,11.38,7.38,0.4842
2024-12-20,26.93,17.75,9.18,0.6506
2024-12-21,26.58,13.47,13.11,0.6915
2024-12-22,22.96,11.96,11.0,0.4125
2024-12-23,22.57,14.93,7.64,0.9621
2024-12-24,29.06,14.68,14.38,0.6977
2024-12-25,17.77,11.27,6.5,0.6246
2024-12-26,27.86,15.73,12.13,0.4895
2024-12-27,27.89,15.35,12.54,0.5607
2024-12-28,19.51,13.73,5.78,0.6404
2024-12-29,34.14,21.58,12.56,0.5082
2024-12-30,29.31,14.86,14.45,0.6167
